areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
All Downtown,Manhattan,submarket,3200.0,3200.0,3050.0,3100.0,3100.0,3200.0,3195.0,3200.0,3400.0,3495.0,3450.0,3400.0,3385.0,3400.0,3300.0,3300.0,3395.0,3400.0,3400.0,3495.0,3625.0,3650.0,3550.0,3495.0,3450.0,3455.0,3500.0,3500.0,3550.0,3550.0,3500.0,3550.0,3650.0,3600.0,3675.0,3675.0,3550.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3585.0,3650.0,3650.0,3695.0,3600.0,3630.0,3600.0,3600.0,3650.0,3650.0,3595.0,3595.0,3595.0,3650.0,3600.0,3600.0,3600.0,3600.0,3630.0,3643.0,3700.0,3750.0,3700.0,3700.0,3772.0,3795.0,3800.0,3750.0,3778.0,3700.0,3712.0,3750.0,3795.0,3800.0,3850.0,3895.0,3795.0,3800.0,3759.0,3703.0,3650.0,3650.0,3700.0,3695.0,3715.0,3790.0,3725.0,3727.0,3700.0,3655.0,3662.0,3675.0,3635.0,3650.0,3750.0,3735.0,3750.0,3827.0,3800.0,3795.0,3800.0,3850.0,3850.0
All Midtown,Manhattan,submarket,2895.0,2800.0,2800.0,2850.0,2900.0,2950.0,3000.0,3000.0,3116.0,3130.0,3166.0,3167.0,3200.0,3200.0,3200.0,3200.0,3250.0,3300.0,3350.0,3300.0,3350.0,3400.0,3400.0,3375.0,3300.0,3290.0,3273.0,3350.0,3400.0,3395.0,3395.0,3400.0,3400.0,3400.0,3448.0,3450.0,3400.0,3425.0,3400.0,3395.0,3385.0,3395.0,3350.0,3395.0,3400.0,3400.0,3395.0,3400.0,3350.0,3380.0,3395.0,3400.0,3450.0,3473.0,3400.0,3400.0,3400.0,3450.0,3495.0,3500.0,3500.0,3500.0,3500.0,3500.0,3550.0,3530.0,3525.0,3506.0,3556.0,3500.0,3500.0,3500.0,3495.0,3500.0,3500.0,3550.0,3575.0,3500.0,3525.0,3500.0,3550.0,3500.0,3500.0,3500.0,3470.0,3495.0,3475.0,3500.0,3510.0,3531.0,3500.0,3500.0,3500.0,3500.0,3350.0,3369.0,3395.0,3400.0,3392.0,3450.0,3500.0,3525.0,3550.0,3550.0,3573.0,3595.0
All Upper East Side,Manhattan,submarket,2469.0,2450.0,2400.0,2500.0,2550.0,2550.0,2595.0,2500.0,2595.0,2550.0,2500.0,2550.0,2500.0,2500.0,2475.0,2500.0,2600.0,2695.0,2650.0,2695.0,2795.0,2800.0,2800.0,2800.0,2700.0,2700.0,2695.0,2695.0,2695.0,2750.0,2700.0,2750.0,2850.0,2795.0,2850.0,2850.0,2795.0,2847.0,2800.0,2750.0,2750.0,2750.0,2750.0,2800.0,2890.0,2850.0,2800.0,2800.0,2700.0,2793.0,2700.0,2700.0,2700.0,2700.0,2725.0,2700.0,2750.0,2750.0,2800.0,2850.0,2855.0,2900.0,2900.0,2875.0,2950.0,2995.0,2950.0,2995.0,3050.0,3000.0,2900.0,2975.0,2995.0,2990.0,3000.0,3000.0,3000.0,2995.0,2992.0,2925.0,2950.0,2950.0,2975.0,3000.0,2995.0,2995.0,2927.0,2950.0,2950.0,2950.0,2950.0,2900.0,2995.0,2950.0,2995.0,2995.0,2929.0,2900.0,2869.0,2850.0,2850.0,2900.0,2950.0,2900.0,2900.0,3000.0
All Upper Manhattan,Manhattan,submarket,1825.0,1800.0,1795.0,1800.0,1823.0,1850.0,1875.0,1850.0,1895.0,1875.0,1849.0,1850.0,1850.0,1800.0,1875.0,1895.0,1900.0,1950.0,1950.0,1976.0,1995.0,1985.0,1995.0,2000.0,2000.0,2000.0,2000.0,2000.0,1995.0,1963.0,2000.0,2050.0,2000.0,1995.0,2000.0,2000.0,1973.0,1995.0,2000.0,2000.0,2025.0,2100.0,2150.0,2150.0,2100.0,2000.0,2000.0,2000.0,2000.0,1995.0,2000.0,2095.0,2100.0,2100.0,2100.0,2128.0,2100.0,2150.0,2190.0,2195.0,2175.0,2200.0,2200.0,2200.0,2250.0,2290.0,2295.0,2300.0,2260.0,2275.0,2250.0,2250.0,2286.0,2275.0,2300.0,2373.0,2395.0,2350.0,2395.0,2400.0,2400.0,2395.0,2385.0,2381.0,2350.0,2300.0,2295.0,2325.0,2350.0,2350.0,2395.0,2395.0,2353.0,2338.0,2250.0,2295.0,2261.0,2291.0,2300.0,2350.0,2375.0,2395.0,2425.0,2400.0,2350.0,2350.0
All Upper West Side,Manhattan,submarket,2895.0,2800.0,2750.0,2800.0,2798.0,2795.0,2800.0,2895.0,2995.0,3000.0,3000.0,2995.0,2995.0,3000.0,2950.0,3000.0,3000.0,3100.0,3100.0,3200.0,3250.0,3342.0,3386.0,3455.0,3300.0,3200.0,3035.0,3150.0,3200.0,3200.0,3250.0,3300.0,3300.0,3350.0,3350.0,3300.0,3200.0,3250.0,3200.0,3200.0,3250.0,3150.0,3199.0,3250.0,3275.0,3300.0,3200.0,3225.0,3200.0,3195.0,3200.0,3295.0,3299.0,3275.0,3200.0,3200.0,3295.0,3300.0,3280.0,3250.0,3290.0,3300.0,3250.0,3300.0,3350.0,3395.0,3405.0,3495.0,3550.0,3500.0,3520.0,3500.0,3450.0,3450.0,3450.0,3475.0,3495.0,3450.0,3495.0,3407.0,3480.0,3450.0,3400.0,3375.0,3300.0,3310.0,3299.0,3300.0,3350.0,3369.0,3378.0,3395.0,3395.0,3395.0,3323.0,3350.0,3350.0,3290.0,3250.0,3290.0,3300.0,3350.0,3350.0,3348.0,3400.0,3400.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1600.0,1650.0,1620.0,1600.0,1700.0,1700.0,1600.0,1600.0,1600.0,1700.0,1650.0,1650.0,1600.0,1600.0,1750.0,1825.0,1900.0,1900.0,1820.0,1900.0,1900.0,1900.0,1973.0,2000.0,2000.0,2038.0,2038.0,2113.0,2100.0,1990.0,2175.0,2225.0,2220.0,2138.0,2021.0,2000.0,2000.0,2000.0,1950.0,2000.0,2200.0,2100.0,2200.0,2150.0,2125.0,2100.0,2000.0,2025.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2200.0,2200.0,2200.0,2150.0,2200.0,2200.0,2200.0,2300.0,2300.0,2299.0,2300.0,2300.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2300.0,2291.0,2275.0,2250.0,2200.0,2200.0,2200.0,2200.0,2250.0,2300.0,2300.0,2250.0,2190.0,2200.0,2195.0,2150.0,2111.0,2100.0,2100.0,2200.0,2200.0,2215.0,2250.0,2250.0,2200.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,1923.0,,,,,1995.0,,2300.0,2100.0,1995.0,1995.0,1950.0,1900.0,1995.0,1995.0,1695.0,,1798.0,1625.0,1795.0,1850.0,2100.0,2225.0,2100.0,2048.0,2048.0,2100.0,2000.0,,1895.0,2195.0,2195.0,2295.0,2023.0,2195.0,2198.0,1795.0,1995.0,1600.0,1795.0,2300.0,2300.0,2300.0,2095.0,2095.0,1850.0,2095.0,2095.0,2000.0,1895.0,1945.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075.0,1075.0,1188.0,1200.0,1075.0,1138.0,,,,,,,,,,,,,,,,,,,,,,1475.0,1638.0,1650.0,,,,2200.0,1725.0,1800.0,1775.0,1575.0,1450.0,,1700.0,1750.0,1775.0,1775.0,2000.0,1850.0,1613.0,1700.0,1700.0,1800.0,2000.0,2000.0,1898.0,1745.0,1950.0,2025.0,2175.0,2250.0,2050.0,2098.0,2000.0,2200.0,2200.0,1900.0,1900.0,2100.0,1950.0,1850.0,1950.0,1950.0,2000.0,1975.0,1900.0,1825.0,1895.0,1900.0,1700.0,1800.0,1950.0,1999.0,2000.0,2000.0,1850.0,1700.0,1675.0,1675.0,1750.0
Battery Park City,Manhattan,neighborhood,3495.0,3346.0,3268.0,3295.0,3100.0,3395.0,3200.0,3225.0,3360.0,3415.0,3348.0,3350.0,3300.0,3150.0,3195.0,3368.0,3700.0,3693.0,3625.0,3650.0,3840.0,3850.0,3700.0,3615.0,3400.0,3500.0,3500.0,3600.0,3798.0,3905.0,4450.0,4375.0,4185.0,4050.0,4100.0,3995.0,3800.0,3500.0,3500.0,3568.0,3875.0,3995.0,3850.0,3850.0,3863.0,3995.0,3850.0,3895.0,3900.0,4013.0,4100.0,3550.0,3695.0,4650.0,4300.0,4198.0,4500.0,4063.0,3898.0,3595.0,3800.0,3950.0,4025.0,4150.0,4518.0,4630.0,4700.0,4795.0,4750.0,4750.0,5100.0,4750.0,4611.0,4600.0,4595.0,4825.0,4600.0,4675.0,4650.0,4765.0,4750.0,4250.0,4050.0,4025.0,4175.0,3995.0,3910.0,3995.0,4350.0,4393.0,4515.0,4400.0,4546.0,4695.0,3880.0,3950.0,4200.0,4100.0,4050.0,4290.0,4650.0,4525.0,4795.0,4900.0,5016.0,4900.0
